# A7 · baseline de hits de los patrones B7 sobre v0 (tag v0), generada 2026-08-16.
# Uso: regenerar sobre la versión candidata con la misma lógica (cuerpo sin frontmatter; regex de biblia/b7-patrones-A.txt y biblia/b7-patrones-B.txt, una expresión -E por línea, case-insensitive) y listar a A7 solo las filas NUEVAS o MODIFICADAS.
# Un hit no es una falta (B7 §3). Nivel A = lectura obligatoria de A7 si es nuevo; nivel B = lectura si el capítulo es disparador o la línea menciona a Jean/Koppangen/26-nov.
# Falso positivo conocido de nivel B: «Cuchillo» como nombre de continuidad (caps. 13, 15, 17, 30, 36, 38); filtrar \bCuchillo\b con distinción de mayúsculas antes de listar.
nivel	fichero	linea	patron	texto
A	cap-02.md	217	Despedida|nota de despedida|carta de despedida|mensaje de despedida|adi[óo]s|[úu]ltimo mensaje|[úu]ltima frase|[úu]ltimas palabras	Al abrir la carpeta personal apareció el nombre de un archivo: «Despedida». Jean dejó el cursor encima sin abrirlo. El carro de limpieza pasó por el pasillo; una rueda golpeaba cada junta del suelo y alguien pidió permiso para entrar en el despacho contiguo.
B	cap-02.md	221	alcohol|beb[ií]|borrach|fumar|porro|droga|cortarse|se cort[óo]|autolesi|vomit|dej[óo] de comer|no com[íi]a|adelgaz	La unidad derivada a laboratorio seguía en el compartimento de incidencias. La etiqueta empezaba a despegarse por una esquina. Jean buscó otra en el cajón, encontró el rollo vacío y anotó la referencia a mano. La tinta se cortó a mitad del último número.
B	cap-03.md	57	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	—EDDA ha hecho lo previsto. Ya sé que conoces el cuestionario mejor que yo y no voy a fingir que una cifra explica esto. Pero tampoco voy a discutirlo contigo.
A	cap-03.md	75	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	—Me han asignado una reunión presupuestaria a las nueve y media del lunes —dijo al fin.
B	cap-03.md	79	alcohol|beb[ií]|borrach|fumar|porro|droga|cortarse|se cort[óo]|autolesi|vomit|dej[óo] de comer|no com[íi]a|adelgaz	Jean bebió. El café estaba demasiado caliente y demasiado aguado, una combinación que la máquina llevaba años perfeccionando.
A	cap-03.md	123	hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	—Maja dice que necesita disciplina. Jessie quiere aprender a caer sin hacerse daño. Ninguna de las dos habla de lo mismo.
B	cap-03.md	181	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	—Vas a tener que explicar eso.
B	cap-03.md	201	alcohol|beb[ií]|borrach|fumar|porro|droga|cortarse|se cort[óo]|autolesi|vomit|dej[óo] de comer|no com[íi]a|adelgaz	La risa se cortó antes de que Jean pudiera ocultarlo.
B	cap-03.md	233	perd[óo]n|lo siento|os quiero|te quiero|\bcuidad\b|\bcuidaos\b|prometo|no es culpa|no llor|s[ée] fuerte	—Perdona.
B	cap-03.md	235	perd[óo]n|lo siento|os quiero|te quiero|\bcuidad\b|\bcuidaos\b|prometo|no es culpa|no llor|s[ée] fuerte	—No tienes que pedirme perdón.
B	cap-03.md	305	alcohol|beb[ií]|borrach|fumar|porro|droga|cortarse|se cort[óo]|autolesi|vomit|dej[óo] de comer|no com[íi]a|adelgaz	Jean bebió el café tibio. Saldría del edificio sin el consejo ni las llamadas.
B	cap-04.md	19	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean permaneció delante del aire frío, con las llaves todavía en la mano.
A	cap-04.md	31	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	En el piano seguía abierta una partitura de Nora. El lápiz descansaba atravesado sobre dos compases. Jean lo apartó para que no marcase el papel y bajó la tapa sin cerrarla del todo.
B	cap-04.md	47	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La bolsa estaba entre sus pies. Jean no recordaba haberla sacado del coche.
B	cap-04.md	49	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b || pecho|desnud|bes[óo]|\bbeso|guapa|labios|piernas|muslo|sujetador|ropa interior|\bsexo|sexual|novi[oa]s?\b	El ferry vibraba bajo las mesas. Jean compró café y un gofre envuelto en papel. Enfrente, un niño dormía sobre dos abrigos y había perdido una bota. Sus padres la buscaron sin discutir, levantando bolsas y piernas mientras él seguía con el calcetín al aire.
A	cap-04.md	59	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	La encontraron detrás de una mochila. Jean sostuvo el gofre hasta que dejó de calentarle los dedos. Cuando la familia se levantó, la bota volvió a caer. Ella la recogió y se la tendió al padre.
A	cap-04.md	75	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	La madre despegó por fin la pegatina de la manga. Era una estrella verde. La pegó en el dorso de la mano del niño, que la inspeccionó con seriedad y volvió a apoyar la cabeza en los abrigos.
B	cap-04.md	79	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean regresó a un coche que podía haber estado en la primera fila o en la tercera. El gofre siguió sin abrir en su bolsillo.
B	cap-04.md	95	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuando volvió a haber un nombre, fue Koppangen.
B	cap-04.md	99	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La puerta del naust se resistió en la bisagra vencida. Jean encontró la llave dentro de un bote de tornillos y empujó con el hombro. El olor a sal seguía prendido en las tablas. Había cuerdas rígidas, un guante sin pareja y una caja de anzuelos en la que su abuela materna guardaba también botones, monedas y cualquier pieza que no supiera tirar.
B	cap-04.md	101	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	El interruptor estaba donde siempre, pero Jean palpó primero la tabla de al lado. La lámpara no respondió. Dejó la puerta abierta lo suficiente para distinguir el banco y apartó con el pie el rollo de cabo que invadía el paso.
B	cap-04.md	105	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	El tejado nuevo dejaba caer serrín claro sobre el banco. Jean pasó un dedo por una muesca que había hecho de niña con el cuchillo del pescado. Su abuela le había quitado la herramienta, le había puesto una escoba en las manos y la había obligado a barrer todas las virutas antes de cenar. Jean recordó el recogedor abollado y que dejó una esquina sin limpiar. Su abuela la vio y no dijo nada hasta la mañana siguiente.
B	cap-04.md	117	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Fuera arrancó un motor. Una caja se arrastró sobre tablas y un cabo golpeó dos veces contra una pared. Jean dejó la escoba apoyada en el banco.
A	cap-05.md	19	se colg|ahorc|se ahog|ahogad|se tir[óo]|se lanz[óo]|se arroj|precipit[óo]|salt[óo] (al|desde)	Intenta respirar. El intento no empieza. Carece de pulmones, de pecho y de aire, y aun así no se ahoga. La alarma queda sin un cuerpo donde descargarse.
B	cap-05.md	39	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Con la luz llega el rastro de operaciones ya cerradas. Los pesos han cambiado y hay descartes que Jean no recuerda haber hecho. El sistema trabajaba antes de que ella pudiera reunir una pregunta y conservarla hasta la respuesta.
B	cap-05.md	69	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	También recuerda a Maja, el piano y una casa, aunque no logra enlazar nada de eso con el presente. La última secuencia continua se rompe antes de ofrecerle una causa.
B	cap-05.md	89	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Recuerda una taza junto al piano, demasiado cerca de una partitura. Intenta retener la madera y el papel, pero el asa del estímulo aumenta y tapa la escena doméstica.
B	cap-05.md	183	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean reduce la secuencia a lo que aún conserva. Existe, recuerda, recibe imágenes y puede responder. Algo produce esas respuestas, aunque se comporte como un formulario.
B	cap-06.md	15	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Sí, el coche es gris. Si lo han encontrado y ella no está, necesito que…
B	cap-06.md	17	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La mujer al otro lado pronunció el nombre completo de Jean, la fecha de nacimiento y Koppangen. Hablaba despacio, con huecos para que Maja confirmase cada dato. Jean había sido localizada. La habían trasladado a UNN Tromsø.
B	cap-06.md	19	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Bien. Maja cerró con el pulgar el mapa de carreteras que llevaba toda la tarde abierto en el terminal. Ya sabía dónde estaba. Podía dejar de llamar a la policía y de probar en otro hotel o servicio de urgencias. Podía coger el coche e ir a buscarla.
B	cap-06.md	27	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja pidió a la mujer que repitiese la última parte. Escuchó las mismas palabras en el mismo orden. Preguntó adónde tenían que ir y por qué entrada. También preguntó con quién debían hablar. Apuntó «UNN, acceso C, recepción nocturna» en el reverso de un recibo. La tinta no prendió sobre el papel térmico y repasó las letras hasta rasgarlo.
B	cap-06.md	49	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Han encontrado a mamá en Koppangen. La han llevado a UNN.
B	cap-06.md	67	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Nos esperan en UNN.
B	cap-06.md	69	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jessie cogió las botas sin sentarse y abrió la puerta que comunicaba con el garaje. El aire frío entró a ras de suelo. Golpeó una vez la chapa con la palma abierta. El ruido hizo vibrar las herramientas colgadas en la pared. Después salió en calcetines.
B	cap-06.md	71	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja guardó el recibo roto en el bolsillo, junto con las llaves. Llenó una botella de agua. Cuando rebosó sobre el fregadero, cerró el grifo. Vació la mitad y la dejó en la encimera. Buscó los documentos de las niñas y sacó dos cargadores distintos, porque ignoraba qué terminal necesitarían o cuándo iban a volver. Los dejó junto al suyo, que tenía un ochenta y tres por ciento de batería.
B	cap-06.md	105	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja repitió la llamada. Localización. Traslado. Fallecimiento. UNN. Acceso C. Nora atendió al orden.
A	cap-06.md	121	por qu[ée] lo hizo|por qu[ée] se |por qu[ée] Koppangen|la causa de|el motivo de|la raz[óo]n de	—¿Por qué Koppangen? —preguntó.
B	cap-06.md	139	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja alcanzó la salida de Breivika sobre la línea blanca. El volante corrigió unos centímetros. Bajó la velocidad hasta que el coche de detrás la adelantó.
B	cap-06.md	147	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b || explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	El aire de UNN secaba la nariz. Bajo las luces del acceso C, las tres se quitaron los guantes y sostuvieron cosas: terminales, papeles, una tarjeta de identificación que una administrativa les entregó sin explicar para qué servía. La mujer de recepción preguntó por Jean Marie Larsson y Maja respondió antes de que terminase.
A	cap-06.md	175	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	—¿Dónde la encontraron? —preguntó Jessie.
B	cap-06.md	177	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—En la zona de Koppangen.
A	cap-06.md	183	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	—Esa información forma parte del atestado. La policía os la facilitará cuando corresponda.
A	cap-06.md	191	hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	—¿Sufrió? —preguntó Maja. Habló más alto de lo que pretendía.
B	cap-06.md	199	pecho|desnud|bes[óo]|\bbeso|guapa|labios|piernas|muslo|sujetador|ropa interior|\bsexo|sexual|novi[oa]s?\b	Nora separó los labios. Maja esperó otra frase, alguna que corrigiese la primera, pero la doctora bajó la vista hacia la carpeta.
A	cap-06.md	211	suicid || hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	La médica no se defendió. Cerró la carpeta. Maja preguntó cuándo podrían irse y quién avisaría a la policía. Anotó las instrucciones, pero seguía sin respuesta para «¿Sufrió?». Ofreció el contacto del equipo especializado en duelo por suicidio. No dejó ningún folleto sobre la mesa. Preguntó si Maja autorizaba que una profesional la llamase al día siguiente y comprobó el número con ella.
A	cap-06.md	217	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	En el pasillo, Nora caminaba un paso por detrás. Jessie se había puesto la capucha y mantenía las manos dentro de los bolsillos. Maja las llevó hasta una zona de espera más apartada y desplegó sobre una mesa los impresos que le habían dado. Leyó dos veces la hoja sobre los efectos personales. No recordaba haber preguntado por los objetos de Jean.
B	cap-06.md	237	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja dobló los impresos y los guardó en el bolso. La botella de agua se había quedado en la cocina. Los dos cargadores estaban allí, junto al fregadero, y el terminal seguía conectado a la pared de casa. Había conducido hasta el hospital sin teléfono.
B	cap-06.md	255	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—He pedido una sala privada —dijo Alana—. También un coche para cuando queráis marcharos.
A	cap-07.md	23	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	La corrección encaja. Le gusta haberla encontrado hasta que calcula que, sin ella, el caso habría salido mal. Se avergüenza.
B	cap-07.md	39	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Jean ha aprendido a reservar ESCALAR para lo que no puede dejar pasar. La interfaz llama mejora a cada ajuste incorporado. Jean insiste en traducirla como progreso clínico. Una calibración mide velocidad, consistencia y fatiga antes de permitir contacto. Una rehabilitación torpe todavía podría terminar. Necesita que esa explicación aguante porque al otro lado espera alguien capaz de avisar a sus hijas.
B	cap-07.md	69	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La entrada se retira. Un arma ocupa la parte del encuadre necesaria para decidir.
B	cap-07.md	89	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Recuerda el peso del gesto, la oscuridad irregular bajo los párpados, la posibilidad infantil de apretar más para hacer desaparecer una habitación. La operación está completa en su memoria, pero falta el órgano que la ejecute. La imagen queda abierta.
A	cap-07.md	183	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	Regresa un campo neutro. Las etiquetas de prioridad se retiran, pero Jean ya conoce el valor de ese alivio. Sirve para mantenerla trabajando.
B	cap-07.md	199	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Jean busca una categoría que conserve abiertas varias explicaciones. Ceremonia. Reunión. Homenaje laboral. La última justifica las flores y le permite mantener el funeral fuera durante unos segundos.
B	cap-07.md	213	pecho|desnud|bes[óo]|\bbeso|guapa|labios|piernas|muslo|sujetador|ropa interior|\bsexo|sexual|novi[oa]s?\b	Maja está al final de una fila. A su lado, Nora ha doblado la manga hasta cubrirse los dedos. El cordón suelto de la sudadera de Jessie cae sobre su pecho. Jean reconoce a las gemelas por lo que hacen con la ropa. Por el lugar que ocupa junto a ellas, identifica a Maja antes de alcanzar sus caras.
B	cap-07.md	215	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La tarea no admite que les pregunte qué día es, que llame a Maja por encima de las filas o que obligue a Nora a levantar la cabeza. Jean solo puede decidir qué clase de evento contiene la imagen. Dispone del mismo margen que ante el accidente y el arma.
B	cap-08.md	51	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Jean vuelve a la respuesta adelantada. El desfase le ofrece una explicación cómoda. El trabajo continuó, `/0000` recibió el resultado y la ráfaga actual heredó la destreza. Todo pertenecería a una única trayectoria llena de cortes.
B	cap-08.md	59	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Mantiene `REVISAR` sin aceptarlo y espera otro caso médico. En el nuevo, los informes concuerdan. Jean escoge `PERMITIR` y formula un motivo distinto. La tarea acepta el texto de Jean, pero lo guarda en el caso discrepante, junto a `REVISAR`, que aún permanece allí.
B	cap-09.md	25	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Después, un antiguo compañero se saltó una página de sus notas y contó una anécdota de oficina. Al terminar, miró a la familia como si hubiera entregado algo útil.
